Any,Codi_Districte,Nom_Districte,Codi_Barri,Desc_Barri,Cilindrada_motos,Nombre_motos
2018,1,Ciutat Vella,3,la Barceloneta,de 501 a 750 cc,186
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",de 501 a 750 cc,285
2018,2,Eixample,5,el Fort Pienc,de 501 a 750 cc,464
2018,2,Eixample,6,la Sagrada Família,de 501 a 750 cc,732
2018,2,Eixample,7,la Dreta de l'Eixample,de 501 a 750 cc,879
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,de 501 a 750 cc,887
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,de 501 a 750 cc,955
2018,2,Eixample,10,Sant Antoni,de 501 a 750 cc,538
2018,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,de 501 a 750 cc,491
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermelll - AEI Zona Franca,de 501 a 750 cc,45
2018,3,Sants-Montjuïc,13,la Marina de Port,de 501 a 750 cc,503
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,de 501 a 750 cc,200
2018,3,Sants-Montjuïc,15,Hostafrancs,de 501 a 750 cc,245
2018,3,Sants-Montjuïc,16,la Bordeta,de 501 a 750 cc,300
2018,3,Sants-Montjuïc,17,Sants - Badal,de 501 a 750 cc,343
2018,3,Sants-Montjuïc,18,Sants,de 501 a 750 cc,649
2018,4,Les Corts,19,les Corts,de 501 a 750 cc,778
2018,4,Les Corts,20,la Maternitat i Sant Ramon,de 501 a 750 cc,443
2018,4,Les Corts,21,Pedralbes,de 501 a 750 cc,252
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",de 501 a 750 cc,118
2018,5,Sarrià-Sant Gervasi,23,Sarrià,de 501 a 750 cc,460
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,de 501 a 750 cc,346
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,de 501 a 750 cc,490
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,de 501 a 750 cc,1086
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,de 501 a 750 cc,623
2018,6,Gràcia,28,Vallcarca i els Penitents,de 501 a 750 cc,304
2018,6,Gràcia,29,el Coll,de 501 a 750 cc,138
2018,6,Gràcia,30,la Salut,de 501 a 750 cc,259
2018,6,Gràcia,31,la Vila de Gràcia,de 501 a 750 cc,773
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,de 501 a 750 cc,604
2018,7,Horta-Guinardó,33,el Baix Guinardó,de 501 a 750 cc,426
2018,7,Horta-Guinardó,34,Can Baró,de 501 a 750 cc,152
2018,7,Horta-Guinardó,35,el Guinardó,de 501 a 750 cc,582
2018,7,Horta-Guinardó,36,la Font d'en Fargues,de 501 a 750 cc,234
2018,7,Horta-Guinardó,37,el Carmel,de 501 a 750 cc,587
2018,7,Horta-Guinardó,38,la Teixonera,de 501 a 750 cc,187
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,de 501 a 750 cc,145
2018,7,Horta-Guinardó,40,Montbau,de 501 a 750 cc,81
2018,7,Horta-Guinardó,41,la Vall d'Hebron,de 501 a 750 cc,73
2018,7,Horta-Guinardó,42,la Clota,de 501 a 750 cc,11
2018,7,Horta-Guinardó,43,Horta,de 501 a 750 cc,480
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,de 501 a 750 cc,356
2018,8,Nou Barris,45,Porta,de 501 a 750 cc,302
2018,8,Nou Barris,46,el Turó de la Peira,de 501 a 750 cc,182
2018,8,Nou Barris,47,Can Peguera,de 501 a 750 cc,29
2018,8,Nou Barris,48,la Guineueta,de 501 a 750 cc,236
2018,8,Nou Barris,49,Canyelles,de 501 a 750 cc,111
2018,8,Nou Barris,50,les Roquetes,de 501 a 750 cc,207
2018,8,Nou Barris,51,Verdun,de 501 a 750 cc,127
2018,8,Nou Barris,52,la Prosperitat,de 501 a 750 cc,336
2018,8,Nou Barris,53,la Trinitat Nova,de 501 a 750 cc,58
2018,8,Nou Barris,54,Torre Baró,de 501 a 750 cc,33
2018,8,Nou Barris,55,Ciutat Meridiana,de 501 a 750 cc,72
2018,8,Nou Barris,56,Vallbona,de 501 a 750 cc,22
2018,9,Sant Andreu,57,la Trinitat Vella,de 501 a 750 cc,78
2018,9,Sant Andreu,58,Baró de Viver,de 501 a 750 cc,30
2018,9,Sant Andreu,59,el Bon Pastor,de 501 a 750 cc,180
2018,9,Sant Andreu,60,Sant Andreu,de 501 a 750 cc,903
2018,9,Sant Andreu,61,la Sagrera,de 501 a 750 cc,431
2018,9,Sant Andreu,62,el Congrés i els Indians,de 501 a 750 cc,186
2018,9,Sant Andreu,63,Navas,de 501 a 750 cc,388
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,de 501 a 750 cc,576
2018,10,Sant Martí,65,el Clot,de 501 a 750 cc,418
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,de 501 a 750 cc,239
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,de 501 a 750 cc,165
2018,10,Sant Martí,68,el Poblenou,de 501 a 750 cc,485
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,de 501 a 750 cc,191
2018,10,Sant Martí,70,el Besòs i el Maresme,de 501 a 750 cc,184
2018,10,Sant Martí,71,Provençals del Poblenou,de 501 a 750 cc,308
2018,10,Sant Martí,72,Sant Martí de Provençals,de 501 a 750 cc,384
2018,10,Sant Martí,73,la Verneda i la Pau,de 501 a 750 cc,345
2018,99,No consta,99,No consta,de 501 a 750 cc,9
2018,1,Ciutat Vella,1,el Raval,Més de 750 cc,218
2018,1,Ciutat Vella,2,el Barri Gòtic,Més de 750 cc,405
2018,1,Ciutat Vella,3,la Barceloneta,Més de 750 cc,128
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Més de 750 cc,198
2018,2,Eixample,5,el Fort Pienc,Més de 750 cc,324
2018,2,Eixample,6,la Sagrada Família,Més de 750 cc,527
2018,2,Eixample,7,la Dreta de l'Eixample,Més de 750 cc,726
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Més de 750 cc,706
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Més de 750 cc,698
2018,2,Eixample,10,Sant Antoni,Més de 750 cc,415
2018,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,Més de 750 cc,305
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermelll - AEI Zona Franca,Més de 750 cc,30
2018,3,Sants-Montjuïc,13,la Marina de Port,Més de 750 cc,260
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,Més de 750 cc,137
2018,3,Sants-Montjuïc,15,Hostafrancs,Més de 750 cc,129
2018,3,Sants-Montjuïc,16,la Bordeta,Més de 750 cc,148
2018,3,Sants-Montjuïc,17,Sants - Badal,Més de 750 cc,197
