Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Tipus_Vehicles,Desc_tipus_propietari,Nombre
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,Turismes,Subjecte Físic,197
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,Motos,Subjecte Jurídic,4
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,Motos,Subjecte Físic,110
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,Turismes,Subjecte Jurídic,131
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,Turismes,Subjecte Físic,412
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,Motos,Subjecte Jurídic,42
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,Motos,Subjecte Físic,224
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,Turismes,Subjecte Jurídic,14
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,Turismes,Subjecte Físic,277
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,Motos,Subjecte Jurídic,3
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,Motos,Subjecte Físic,160
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,Turismes,Subjecte Jurídic,11
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,Turismes,Subjecte Físic,180
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,Motos,Subjecte Jurídic,7
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,Motos,Subjecte Físic,118
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,Turismes,Subjecte Jurídic,18
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,Turismes,Subjecte Físic,309
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,Motos,Subjecte Jurídic,6
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,Motos,Subjecte Físic,126
2016,2,Eixample,5,el Fort Pienc,1,Turismes,Subjecte Jurídic,34
2016,2,Eixample,5,el Fort Pienc,1,Turismes,Subjecte Físic,306
2016,2,Eixample,5,el Fort Pienc,1,Motos,Subjecte Jurídic,5
2016,2,Eixample,5,el Fort Pienc,1,Motos,Subjecte Físic,127
2016,2,Eixample,5,el Fort Pienc,2,Turismes,Subjecte Jurídic,39
2016,2,Eixample,5,el Fort Pienc,2,Turismes,Subjecte Físic,431
2016,2,Eixample,5,el Fort Pienc,2,Motos,Subjecte Jurídic,8
2016,2,Eixample,5,el Fort Pienc,2,Motos,Subjecte Físic,196
2016,2,Eixample,5,el Fort Pienc,3,Turismes,Subjecte Jurídic,19
2016,2,Eixample,5,el Fort Pienc,3,Turismes,Subjecte Físic,309
2016,2,Eixample,5,el Fort Pienc,3,Motos,Subjecte Jurídic,6
2016,2,Eixample,5,el Fort Pienc,3,Motos,Subjecte Físic,117
2016,2,Eixample,5,el Fort Pienc,4,Turismes,Subjecte Jurídic,46
2016,2,Eixample,5,el Fort Pienc,4,Turismes,Subjecte Físic,368
2016,2,Eixample,5,el Fort Pienc,4,Motos,Subjecte Jurídic,12
2016,2,Eixample,5,el Fort Pienc,4,Motos,Subjecte Físic,153
2016,2,Eixample,5,el Fort Pienc,5,Turismes,Subjecte Jurídic,73
2016,2,Eixample,5,el Fort Pienc,5,Turismes,Subjecte Físic,607
2016,2,Eixample,5,el Fort Pienc,5,Motos,Subjecte Jurídic,29
2016,2,Eixample,5,el Fort Pienc,5,Motos,Subjecte Físic,239
2016,2,Eixample,5,el Fort Pienc,6,Turismes,Subjecte Jurídic,39
2016,2,Eixample,5,el Fort Pienc,6,Turismes,Subjecte Físic,459
