Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipus_propietari,Nombre_turismes
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Altres situacions,0
2013,7,Horta-Guinardó,33,el Baix Guinardó,Altres situacions,1
2013,7,Horta-Guinardó,34,Can Baró,Altres situacions,1
2013,7,Horta-Guinardó,35,el Guinardó,Altres situacions,1
2013,7,Horta-Guinardó,36,la Font d'en Fargues,Altres situacions,0
2013,7,Horta-Guinardó,37,el Carmel,Altres situacions,1
2013,7,Horta-Guinardó,38,la Teixonera,Altres situacions,0
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,Altres situacions,1
2013,7,Horta-Guinardó,40,Montbau,Altres situacions,0
2013,7,Horta-Guinardó,41,la Vall d'Hebron,Altres situacions,0
2013,7,Horta-Guinardó,42,la Clota,Altres situacions,0
2013,7,Horta-Guinardó,43,Horta,Altres situacions,1
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Altres situacions,1
2013,8,Nou Barris,45,Porta,Altres situacions,0
2013,8,Nou Barris,46,el Turó de la Peira,Altres situacions,0
2013,8,Nou Barris,47,Can Peguera,Altres situacions,0
2013,8,Nou Barris,48,la Guineueta,Altres situacions,0
2013,8,Nou Barris,49,Canyelles,Altres situacions,0
2013,8,Nou Barris,50,les Roquetes,Altres situacions,0
2013,8,Nou Barris,51,Verdun,Altres situacions,0
2013,8,Nou Barris,52,la Prosperitat,Altres situacions,0
2013,8,Nou Barris,53,la Trinitat Nova,Altres situacions,1
2013,8,Nou Barris,54,Torre Baró,Altres situacions,0
2013,8,Nou Barris,55,Ciutat Meridiana,Altres situacions,0
2013,8,Nou Barris,56,Vallbona,Altres situacions,0
2013,9,Sant Andreu,57,la Trinitat Vella,Altres situacions,1
2013,9,Sant Andreu,58,Baró de Viver,Altres situacions,0
2013,9,Sant Andreu,59,el Bon Pastor,Altres situacions,0
2013,9,Sant Andreu,60,Sant Andreu,Altres situacions,3
2013,9,Sant Andreu,61,la Sagrera,Altres situacions,1
2013,9,Sant Andreu,62,el Congrés i els Indians,Altres situacions,0
2013,9,Sant Andreu,63,Navas,Altres situacions,1
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Altres situacions,1
2013,10,Sant Martí,65,el Clot,Altres situacions,1
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Altres situacions,0
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,Altres situacions,0
2013,10,Sant Martí,68,el Poblenou,Altres situacions,1
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Altres situacions,0
2013,10,Sant Martí,70,el Besòs i el Maresme,Altres situacions,0
2013,10,Sant Martí,71,Provençals del Poblenou,Altres situacions,1
2013,10,Sant Martí,72,Sant Martí de Provençals,Altres situacions,2
2013,10,Sant Martí,73,la Verneda i la Pau,Altres situacions,0
2013,99,No consta,99,No consta,Altres situacions,3
2013,1,Ciutat Vella,1,el Raval,No consta,0
2013,1,Ciutat Vella,2,el Barri Gòtic,No consta,1
2013,1,Ciutat Vella,3,la Barceloneta,No consta,0
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",No consta,1
2013,2,Eixample,5,el Fort Pienc,No consta,0
2013,2,Eixample,6,la Sagrada Família,No consta,0
2013,2,Eixample,7,la Dreta de l'Eixample,No consta,0
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,No consta,3
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,No consta,3
2013,2,Eixample,10,Sant Antoni,No consta,0
2013,3,Sants-Montjuïc,11,el Poble Sec,No consta,1
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,No consta,0
2013,3,Sants-Montjuïc,13,la Marina de Port,No consta,0
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,No consta,0
2013,3,Sants-Montjuïc,15,Hostafrancs,No consta,0
2013,3,Sants-Montjuïc,16,la Bordeta,No consta,0
2013,3,Sants-Montjuïc,17,Sants - Badal,No consta,0
2013,3,Sants-Montjuïc,18,Sants,No consta,2
2013,4,Les Corts,19,les Corts,No consta,2
2013,4,Les Corts,20,la Maternitat i Sant Ramon,No consta,1
