Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipologia_parc,Nombre_vehicles
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Furgonetes,166
2013,5,Sarrià-Sant Gervasi,23,Sarrià,Furgonetes,576
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Furgonetes,374
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Furgonetes,508
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Furgonetes,1274
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Furgonetes,552
2013,6,Gràcia,28,Vallcarca i els Penitents,Furgonetes,303
2013,6,Gràcia,29,el Coll,Furgonetes,140
2013,6,Gràcia,30,la Salut,Furgonetes,261
2013,6,Gràcia,31,la Vila de Gràcia,Furgonetes,991
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Furgonetes,656
2013,7,Horta-Guinardó,33,el Baix Guinardó,Furgonetes,538
2013,7,Horta-Guinardó,34,Can Baró,Furgonetes,195
2013,7,Horta-Guinardó,35,el Guinardó,Furgonetes,842
2013,7,Horta-Guinardó,36,la Font d'en Fargues,Furgonetes,268
2013,7,Horta-Guinardó,37,el Carmel,Furgonetes,628
2013,7,Horta-Guinardó,38,la Teixonera,Furgonetes,267
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,Furgonetes,153
2013,7,Horta-Guinardó,40,Montbau,Furgonetes,103
2013,7,Horta-Guinardó,41,la Vall d'Hebron,Furgonetes,112
2013,7,Horta-Guinardó,42,la Clota,Furgonetes,39
2013,7,Horta-Guinardó,43,Horta,Furgonetes,587
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Furgonetes,573
2013,8,Nou Barris,45,Porta,Furgonetes,472
2013,8,Nou Barris,46,el Turó de la Peira,Furgonetes,271
2013,8,Nou Barris,47,Can Peguera,Furgonetes,53
2013,8,Nou Barris,48,la Guineueta,Furgonetes,248
2013,8,Nou Barris,49,Canyelles,Furgonetes,174
2013,8,Nou Barris,50,les Roquetes,Furgonetes,406
2013,8,Nou Barris,51,Verdun,Furgonetes,249
2013,8,Nou Barris,52,la Prosperitat,Furgonetes,607
2013,8,Nou Barris,53,la Trinitat Nova,Furgonetes,185
2013,8,Nou Barris,54,Torre Baró,Furgonetes,113
2013,8,Nou Barris,55,Ciutat Meridiana,Furgonetes,219
2013,8,Nou Barris,56,Vallbona,Furgonetes,37
2013,9,Sant Andreu,57,la Trinitat Vella,Furgonetes,269
2013,9,Sant Andreu,58,Baró de Viver,Furgonetes,63
2013,9,Sant Andreu,59,el Bon Pastor,Furgonetes,664
2013,9,Sant Andreu,60,Sant Andreu,Furgonetes,1194
2013,9,Sant Andreu,61,la Sagrera,Furgonetes,533
2013,9,Sant Andreu,62,el Congrés i els Indians,Furgonetes,303
2013,9,Sant Andreu,63,Navas,Furgonetes,482
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Furgonetes,865
2013,10,Sant Martí,65,el Clot,Furgonetes,572
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Furgonetes,838
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,Furgonetes,259
2013,10,Sant Martí,68,el Poblenou,Furgonetes,716
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Furgonetes,240
2013,10,Sant Martí,70,el Besòs i el Maresme,Furgonetes,510
2013,10,Sant Martí,71,Provençals del Poblenou,Furgonetes,813
2013,10,Sant Martí,72,Sant Martí de Provençals,Furgonetes,530
2013,10,Sant Martí,73,la Verneda i la Pau,Furgonetes,644
2013,99,No consta,99,No consta,Furgonetes,509
2013,1,Ciutat Vella,1,el Raval,Camions,403
2013,1,Ciutat Vella,2,el Barri Gòtic,Camions,1242
2013,1,Ciutat Vella,3,la Barceloneta,Camions,236
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Camions,181
2013,2,Eixample,5,el Fort Pienc,Camions,342
2013,2,Eixample,6,la Sagrada Família,Camions,407
