Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Cilindrada_motos,Nombre_motos
2013,7,Horta-Guinardó,33,el Baix Guinardó,251 a 300 cc,95
2013,7,Horta-Guinardó,34,Can Baró,251 a 300 cc,46
2013,7,Horta-Guinardó,35,el Guinardó,251 a 300 cc,141
2013,7,Horta-Guinardó,36,la Font d'en Fargues,251 a 300 cc,78
2013,7,Horta-Guinardó,37,el Carmel,251 a 300 cc,116
2013,7,Horta-Guinardó,38,la Teixonera,251 a 300 cc,47
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,251 a 300 cc,28
2013,7,Horta-Guinardó,40,Montbau,251 a 300 cc,15
2013,7,Horta-Guinardó,41,la Vall d'Hebron,251 a 300 cc,21
2013,7,Horta-Guinardó,42,la Clota,251 a 300 cc,2
2013,7,Horta-Guinardó,43,Horta,251 a 300 cc,130
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,251 a 300 cc,70
2013,8,Nou Barris,45,Porta,251 a 300 cc,43
2013,8,Nou Barris,46,el Turó de la Peira,251 a 300 cc,33
2013,8,Nou Barris,47,Can Peguera,251 a 300 cc,5
2013,8,Nou Barris,48,la Guineueta,251 a 300 cc,41
2013,8,Nou Barris,49,Canyelles,251 a 300 cc,15
2013,8,Nou Barris,50,les Roquetes,251 a 300 cc,24
2013,8,Nou Barris,51,Verdun,251 a 300 cc,19
2013,8,Nou Barris,52,la Prosperitat,251 a 300 cc,57
2013,8,Nou Barris,53,la Trinitat Nova,251 a 300 cc,13
2013,8,Nou Barris,54,Torre Baró,251 a 300 cc,6
2013,8,Nou Barris,55,Ciutat Meridiana,251 a 300 cc,12
2013,8,Nou Barris,56,Vallbona,251 a 300 cc,2
2013,9,Sant Andreu,57,la Trinitat Vella,251 a 300 cc,22
2013,9,Sant Andreu,58,Baró de Viver,251 a 300 cc,4
2013,9,Sant Andreu,59,el Bon Pastor,251 a 300 cc,20
2013,9,Sant Andreu,60,Sant Andreu,251 a 300 cc,173
2013,9,Sant Andreu,61,la Sagrera,251 a 300 cc,76
2013,9,Sant Andreu,62,el Congrés i els Indians,251 a 300 cc,43
2013,9,Sant Andreu,63,Navas,251 a 300 cc,93
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,251 a 300 cc,132
2013,10,Sant Martí,65,el Clot,251 a 300 cc,69
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,251 a 300 cc,48
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,251 a 300 cc,43
2013,10,Sant Martí,68,el Poblenou,251 a 300 cc,84
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,251 a 300 cc,64
2013,10,Sant Martí,70,el Besòs i el Maresme,251 a 300 cc,38
2013,10,Sant Martí,71,Provençals del Poblenou,251 a 300 cc,64
2013,10,Sant Martí,72,Sant Martí de Provençals,251 a 300 cc,74
2013,10,Sant Martí,73,la Verneda i la Pau,251 a 300 cc,60
2013,99,No consta,99,No consta,251 a 300 cc,104
2013,1,Ciutat Vella,1,el Raval,301 a 500 cc,135
2013,1,Ciutat Vella,2,el Barri Gòtic,301 a 500 cc,140
2013,1,Ciutat Vella,3,la Barceloneta,301 a 500 cc,72
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",301 a 500 cc,108
2013,2,Eixample,5,el Fort Pienc,301 a 500 cc,206
2013,2,Eixample,6,la Sagrada Família,301 a 500 cc,316
2013,2,Eixample,7,la Dreta de l'Eixample,301 a 500 cc,428
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,301 a 500 cc,348
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,301 a 500 cc,404
2013,2,Eixample,10,Sant Antoni,301 a 500 cc,227
2013,3,Sants-Montjuïc,11,el Poble Sec,301 a 500 cc,199
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,301 a 500 cc,13
